charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
B;10;10;4;40;0;2029;2990142.69;4.387292758;55830.01901;2088527.41;-3393.15306;97195.13308;72012.55375;143823.9171;591976.8286;27009.05;12349.97792;4985.976487;19790.61025;17432.61443;0;0;469;1.966717356;0.983358678;37223.22468;62.4;ok
B;10;10;4;40;0;2030;2971164.676;6.549291947;55702.10309;2167095.138;-3191.349382;78115.77406;66383.4784;59785.61323;602976.0216;25035.85;12866.40556;4303.05326;21559.65475;18956.19838;0;0;511;37.31099959;0.98186841;40515.85314;60;ok
B;10;10;4;40;0;2031;3041523.253;12.43622503;58502.09013;2204785.433;-3218.348427;64167.17478;84434.0048;39265.25884;652089.73;29098.24;12154.01037;4971.377087;20812.54776;18331.90549;0;0;493;1.965014193;0.982507097;39144.45326;50.7;ok
B;10;10;4;40;0;2032;2930572.989;4.674842605;53557.14867;2117476.965;-3992.506216;77387.28989;75182.53988;80204.33423;584314.3665;23708.16;13009.84137;3994.136953;20377.77965;17949.32902;0;0;483;1.965723844;0.982861922;38327.10867;51.9;ok
B;10;10;4;40;0;2033;3012109.503;0.488446399;48496.93628;2178529.335;-4667.75837;51104.9819;78105.73221;96997.73198;612039.4803;16256.77;14511.46358;2511.414116;21540.39265;18939.27044;0;0;510;37.31234793;0.981903893;40479.66309;57.6;ok
B;10;10;4;40;0;2034;2762707.262;0.592713262;49875.97556;1962625.642;-5008.374815;85381.48631;106768.3785;67143.21748;545796.9132;19281.22;13551.93853;3342.856235;21112.3936;18595.77876;0;0;500;1.964517437;0.982258719;39708.17237;57.5;ok
B;10;10;4;40;0.25;2027;3226012.973;3252.331736;59882.63677;1689580.725;-4396.165746;421796.0424;81424.49695;494453.2227;543154.6519;36618.73;9991.444618;7585.535224;16123.61683;14205.62732;0;1160.075773;381;1.972962287;0.986481144;30329.24415;90.8;ok
B;10;10;4;40;0.25;2028;3288299.066;4260.398925;43920.25894;2180905.798;-4479.113287;120371.6938;80788.39009;280263.5984;630448.6993;10821.03;14841.01428;2657.943363;22203.40819;19555.87816;0;129.0140245;526;1.962672344;0.981336172;41759.28635;68.1;ok
B;10;10;4;40;0.25;2029;2817703.297;3801.838324;56028.83458;1931514.85;-3846.903988;97505.63555;69666.21983;133539.5458;589323.9498;27009.05;12511.10911;4895.319727;19752.4932;17399.07009;0;554.5321158;468;1.966788321;0.983394161;37151.56329;62.1;ok
B;10;10;4;40;0.25;2030;2791363.186;4079.919868;56183.63184;1996874.624;-3462.550399;77748.02253;65625.69872;55444.74742;599132.6428;25035.85;13291.5352;4012.477583;21536.76149;18938.76156;0;254.9747581;510;34.44077974;0.981903893;40475.52305;58.9;ok
B;10;10;4;40;0.25;2031;2836790.722;4029.406187;58721.27438;2012651.136;-3932.870844;62948.46819;80062.08251;37609.8042;647452.1013;29098.24;12280.70514;4943.632177;20760.54066;18286.14758;0;283.3871231;492;1.965085158;0.982542579;39046.68824;63.3;ok
B;10;10;4;40;0.25;2032;2770246.432;3900.503317;53906.00084;1963378.568;-4247.397576;75837.6031;73362.28384;78146.56755;583768.8064;23708.16;13293.89321;3847.70105;20337.38848;17913.3402;0;391.1298511;482;2.437435224;0.982897405;38250.72868;58.4;ok
B;10;10;4;40;0.25;2033;2860283.724;4054.724319;49013.18739;2030298.098;-4838.239716;51021.93559;77409.74132;95601.81384;610790.3744;16256.77;14999.30113;2064.557369;21536.0195;18935.42135;0;218.4122318;510;37.31234793;0.981903893;40471.44085;58.2;ok
B;10;10;4;40;0.25;2034;2617471.236;3990.089108;50291.18622;1822146.766;-5096.216668;84364.62606;106138.8088;64861.50691;545055.7442;19281.22;13917.36328;3060.743498;21115.95984;18598.9153;0;258.4469293;500;1.964517437;0.982258719;39714.87514;58.1;ok
B;10;10;4;40;0.5;2027;3079901.031;5947.901758;59708.53043;1542947.645;-4471.075466;411329.4562;80961.91817;504316.4455;544816.6416;36618.73;9748.922799;7838.035006;16173.55464;14249.57584;0;2863.244639;382;1.972891322;0.986445661;30423.13048;87.7;ok
B;10;10;4;40;0.5;2028;3124017.803;8168.521775;43761.84415;2017336.498;-4382.64544;117220.4797;80566.97153;282299.4021;630977.0968;10821.03;14600.53535;2909.702634;22253.53787;19599.99243;0;594.5471295;528;1.962530414;0.981265207;41853.5303;75;ok
B;10;10;4;40;0.5;2029;2666053.229;7185.752862;55753.14418;1786120.818;-3803.117912;93598.36683;67448.33176;131695.0562;590993.7744;27009.05;12135.77759;5283.887568;19812.00168;17451.4414;0;1526.644126;469;1.966717356;0.983358678;37263.44308;60.5;ok
B;10;10;4;40;0.5;2030;2638397.445;7715.651335;55867.35503;1845125.044;-3667.253337;76469.37226;63805.37956;55809.91235;600854.9901;25035.85;12879.72408;4450.329657;21578.59965;18972.8761;0;953.1836683;511;37.31099959;0.98186841;40551.47574;64.1;ok
B;10;10;4;40;0.5;2031;2669588.805;7422.786156;58422.32018;1843521.027;-3990.201122;62495.5491;78337.72619;38604.03426;650620.6705;29098.24;11848.52614;5391.926226;20858.9867;18372.77888;0;1202.704672;494;1.964943228;0.982471614;39231.76558;64.2;ok
B;10;10;4;40;0.5;2032;2620863.912;7453.483553;53610.4475;1815348.281;-4360.741773;75308.99597;72805.15902;77940.45309;583821.7652;23708.16;12942.3956;4216.245819;20371.10467;17943.45519;0;1129.24344;483;1.965723844;0.982861922;38314.55986;56;ok
B;10;10;4;40;0.5;2033;2712379.204;7970.662861;48827.45135;1883944.943;-4849.954851;50832.63422;76192.19044;95159.89608;611099.4949;16256.77;14783.85721;2291.407837;21539.23695;18938.25298;0;571.1887179;510;37.31234793;0.981903893;40477.48993;58.8;ok
B;10;10;4;40;0.5;2034;2489134.293;7672.3082;50070.79518;1694960;-5156.451148;84511.36909;105161.6097;64141.9312;545515.8342;19281.22;13655.88205;3329.489998;21122.90312;18605.02734;0;824.4460991;501;1.964517437;0.982223236;39727.93046;60.6;ok
B;10;10;4;40;0.75;2027;2973238.967;8395.668356;59785.82819;1421820.698;-3879.401653;390066.5967;80786.70374;537925.5487;546518.8211;36618.73;9800.619583;7774.822963;16195.54997;14268.94166;0;4816.248887;383;1.972820357;0.986410178;30464.49163;80.8;ok
B;10;10;4;40;0.75;2028;2984877.037;11851.53866;43753.57036;1874535.925;-4272.394843;116673.0109;79508.16512;286829.7952;631602.5359;10821.03;14579.1257;2924.900979;22246.23664;19593.56989;0;1292.186445;527;1.962601379;0.981300689;41839.80653;78;ok
B;10;10;4;40;0.75;2029;2565001.967;10239.86706;55764.20777;1676236.811;-3768.457957;92307.77762;67838.41642;137960.4412;594426.9785;27009.05;12123.03288;5288.908864;19837.2203;17473.62738;0;2828.728425;470;1.966646391;0.983323195;37310.84768;63.1;ok
B;10;10;4;40;0.75;2030;2520810.892;10994.22835;55795.09328;1724729.285;-3419.359724;74779.32304;62862.0757;57057.20108;604802.3669;25035.85;12752.43846;4566.524537;21586.48099;18982.50651;0;2009.024157;511;34.4394314;0.98186841;40568.9875;59.1;ok
B;10;10;4;40;0.75;2031;2543473.537;10428.51346;58380.59265;1711268.077;-3956.232364;61978.54099;78306.14748;39081.88324;656795.1213;29098.24;11760.78468;5483.618974;20894.49703;18404.02388;0;2509.928205;495;1.964872263;0.982436131;39298.52091;63.1;ok
B;10;10;4;40;0.75;2032;2500195.846;10730.91537;53523.23443;1691800.331;-4348.984553;74551.31799;72645.28533;78827.28727;586720.6086;23708.16;12831.54273;4324.006853;20388.97109;17959.17705;0;2142.629691;483;1.965723844;0.982861922;38348.14814;58.5;ok
B;10;10;4;40;0.75;2033;2590938.859;11697.59176;48810.44201;1760085.747;-4807.895436;51195.28391;76650.59522;95525.77758;612289.3507;16256.77;14734.76844;2337.139399;21557.76729;18954.55996;0;1111.585573;511;37.31099959;0.98186841;40512.32725;65.6;ok
