charging_scenario;pv_mw;bess_power_mw;bess_duration_h;bess_energy_mwh;contract_share;year;merchant_revenue_eur;ppa_delivered_mwh;total_output_mwh;rev_da_eur;rev_idc_eur;rev_afrr_up_capacity_eur;rev_afrr_up_activation_eur;rev_afrr_dn_capacity_eur;rev_afrr_dn_activation_eur;hydro_annual_mwh;pv_annual_mwh;pv_curtailed_mwh;bess_charge_mwh;bess_discharge_mwh;hydro_to_bess_mwh;ppa_shortfall_mwh;total_cycles;final_soc_mwh;final_degradation;total_throughput_mwh;solve_time_s;status
A;2;2;2;4;0.5;2028;128594.6022;1639.512561;14227.65774;74195.25296;0;52880.55862;1518.790651;0;0;10821.03;3276.733416;62.89398872;162.8437461;144.9905669;0;111.7230141;38;0.199730333;0.998651663;307.834313;51;ok
A;2;2;2;4;0.5;2029;84906.25725;1516.511756;30108.33908;61479.58966;0.569840651;22273.59955;1152.498209;0;0;27009.05;3018.725756;366.7196565;99.51338305;89.25952043;0;225.967642;23;0.19983678;0.999183901;188.7729035;50.9;ok
A;2;2;2;4;0.5;2030;66599.78151;1643.685454;28360.63686;60648.56993;0;5614.098537;337.1130399;0;0;25035.85;3285.310759;131.995793;50.22744873;42.5124598;0;90.08154702;11;3.798516829;0.999609692;92.73990853;50.8;ok
A;2;2;2;4;0.5;2031;74504.86704;1640.131296;32404.03456;72527.57902;0;1898.540522;78.7475;0;0;29098.24;3267.455775;140.2402303;42.50032552;39.08878951;0;84.96686944;10;0.199929035;0.999645174;81.58911503;48.1;ok
A;2;2;2;4;0.5;2032;65231.70208;1564.008888;26864.96196;59010.63682;0;5942.443492;278.6217693;0;0;23708.16;3125.319072;271.3725854;36.25369206;33.59167886;0;152.463787;8;0.199943228;0.999716139;69.84537092;49.4;ok
A;2;2;2;4;0.5;2033;59332.18383;1632.523845;19532.44688;57379.13951;0;1953.044316;0;0;0;16256.77;3264.79769;136.7016812;14.28125158;10.87919138;0;75.3664664;3;3.799595499;0.999893552;25.16044296;48.8;ok
A;2;2;2;4;0.5;2034;60635.17589;1594.460417;22499.18884;52669.94323;0;7522.985033;442.2476283;0;0;19281.22;3184.761019;173.4218954;40.51880564;37.34509863;0;104.8904429;9;0.199936131;0.999680657;77.86390427;52.7;ok
A;2;2;2;4;0.75;2027;176944.7345;1914.174847;39290.73908;40597.36603;0;134074.0798;2273.288734;0;0;36618.73;2535.751876;806.1785541;178.1410779;158.4513911;0;725.8787843;42;0.199701946;0.998509732;336.592469;51.9;ok
A;2;2;2;4;0.75;2028;82101.23364;2499.319317;14241.66207;39370.45733;0;42078.70867;652.0676348;0;0;10821.03;3331.464308;63.27817753;107.7286653;96.48941564;0;127.5340461;25;0.199822587;0.999112936;204.2180809;54.1;ok
A;2;2;2;4;0.75;2029;45452.77391;2303.058147;30119.13328;30599.05681;0.535260977;14132.41178;720.7700528;0;0;27009.05;3061.349157;363.5902904;60.01934755;54.50477781;0;310.6609498;14;0.199900649;0.999503244;114.5241254;50.2;ok
